Trial Number,Participant,Response,ResponsePeriodOnset,RT,Seed,Cue Frequency,Cue Frequency Range,Choice Frequency,Choice Frequency Range,Coherence
0,fr,same,11.456569899979513,7.455908600008115,12345,4000.0,0.5,8000.0,0.5,0.9
1,fr,diff,25.46001999999862,1.0231831999844871,12345,4000.0,0.5,8000.0,0.5,0.9
2,fr,same,28.753208399983123,5.765167000005022,12345,4000.0,0.5,4000.0,0.5,0.9
3,fr,same,36.782055900024716,3.4520039999624714,12345,4000.0,0.5,4000.0,0.5,0.9
4,fr,same,42.496398099989165,7.344559299992397,12345,4000.0,0.5,4000.0,0.5,0.9
5,fr,diff,52.08988550002687,4.051766499993391,12345,4000.0,0.5,8000.0,0.5,0.9
6,fr,diff,58.41218400001526,0.6792083999607712,12345,4000.0,0.5,8000.0,0.5,0.9
7,fr,diff,61.36303010000847,0.5879614999867044,12345,4000.0,0.5,8000.0,0.5,0.9
8,fr,same,64.21474650001619,0.9015696999849752,12345,4000.0,0.5,4000.0,0.5,0.9
9,fr,same,67.42185199999949,0.7193076999974437,12345,4000.0,0.5,4000.0,0.5,0.9
